ID;BENEFICIAIRE;MONTANT;ID_DEPUTE;NOM_DEPUTE;GROUPE;DEP;
1;100% sport et loisirs;1000;267429;CINIERI Dino;UMP;Loire;
2;1496° Section des Médaillés Militaires;1000;267512;MARC Alain;UMP;Aveyron;
3;1686° Section des Médaillés Militaires Meyenheim quartier Dio;1000;267013;SORDI Michel;UMP;Haut-Rhin;
4;2000 Danses;2000;336439;CLEMENT Jean-Michel;SRC;Vienne;
5;35th  « Santa Fe » Division in Normandy;1500;266797;GOSSELIN Philippe;UMP;Manche;
6;37è parallèle;14000;332305;GILLE Jean-Patrick;SRC;Indre-et-Loire;
7;4Chem1 Evolution;4000;1579;GUIGOU Elisabeth;SRC;Seine-Saint-Denis;
8;4H Tarare;1000;334843;VERCHERE Patrice;UMP;Rhône;
9;6ème continent;5000;334768;TOURAINE Jean-Louis;SRC;Rhône;
10;8 POOL PASSION ARDENNES;1000;2952;WARSMANN Jean-Luc;UMP;Ardennes;
11;A C B;2000;1029;DEFLESSELLES Bernard;UMP;Bouches-du-Rhône;
12;A chacun ses vacances;3000;1310;FILLON François;UMP;Paris;
13;A P E L   Ecole Saint Joseph;1000;267512;MARC Alain;UMP;Aveyron;
14;A petits pas;2000;267246;HEINRICH Michel;UMP;Vosges;
15;A Portée de Voix;1000;331567;DE LA RAUDIERE Laure;UMP;Eure-et-Loir;
16;A portée de Voix;3000;346876;SOLERE Thierry;UMP;Hauts-de-Seine;
17;A Travers Chant;1000;334654;STRAUMANN Eric;UMP;Haut-Rhin;
18;A votre Service;1000;1857;LAZARO Thierry;UMP;Nord;
19;A.A.S.C.O.;10000;;
20;A.A.S.D.A.F;2000;1459;GERARD Bernard;UMP;Nord;
21;A.B.C. Danse;1000;1031;DEGAUCHY Lucien;UMP;Oise;
22;A.C. Saint-Robert- club de football N° d'affiliation FFF: 518964 ;5000;643145;VAINQUEUR-CHRISTOPHE  Hélène;SRC;Guadeloupe;
24;A.C.C.A;2000;2084;MARLEIX Alain;UMP;Cantal;
25;A.C.C.A;3000;2084;MARLEIX Alain;UMP;Cantal;
26;A.C.C.A;5000;2084;MARLEIX Alain;UMP;Cantal;
28;A.C.C.A de Cette-Eygun;2000;1838;LASSALLE Jean;NI;Pyrénées-Atlantiques;
29;A.C.C.C;3000;267260;POLETTI Bérengère;UMP;Ardennes;
30;A.C.E.L des Ternes;4000;1020;DEBRE Bernard;UMP;Paris;
31;A.D.E.T.H.E. Services;1000;267886;PONIATOWSKI Axel;UMP;Val-d'Oise;
32;A.D.P.S.P;1000;334149;FASQUELLE Daniel;UMP;Pas-de-Calais;
33;A.F.T.C;1000;267551;LAMBLIN Jacques;UMP;Meurthe-et-Moselle;
34;A.F.T.C de Franche-Comté;1000;267204;SERMIER Jean-Marie;UMP;Jura;
35;A.I.R.S.;10000;;
36;A.J.P;1500;856;CHERPION Gérard;UMP;Vosges;
37;A.L.C - C.A.L.C;2500;267762;DECOOL Jean-Pierre;UMP;Nord;
38;A.N.A.C.R  Cluses;1000;608851;DION Sophie;UMP;Haute-Savoie;
39;A.P.A.F.E.D Association pour l'Accueil des Femmes en Difficulté;40000;1789;LACUEY Conchita;SRC;Gironde;
